"Year"	"Experiment"	"KSimport"	"KSexport"
1962	1	0.0307837135580801	0.00219306393106711
1963	1	0.000178558580835153	0.00558331986112259
1964	1	0.000148667652438039	0.00681053029805789
1965	1	5.17362004452959e-05	0.00188686375928815
1966	1	0.00103914936416394	0.000192223304122607
1967	1	0.0131092222495668	0.00121256650767154
1968	1	0.12672598400858	0.00302726391381369
1969	1	0.018893777800309	0.0293099291986849
1970	1	0.0463482776279572	0.111985999649274
1971	1	0.454008496714529	0.0463482776279572
1972	1	0.00536475017161098	0.0123048455966769
1973	1	0.0463482776279572	0.243517738831381
1974	1	0.0057935578867595	0.0123048455966769
1975	1	0.00109900909696747	0.0241093577667216
1976	1	0.0175865700577453	0.0452144723623148
1977	1	0.00389869823638644	0.543610997458739
1978	1	0.024811075860238	0.0429867758485656
1979	1	0.0644444791724996	0.109883501450673
1980	1	0.114100574469393	0.0463482776279572
